10,45
4010,2709
8010,1460
12010,2378
16010,3025
20010,2441
24010,3543
28010,3581
32010,3817
36010,7954
40010,4037
44010,4558
48010,1944
52010,1560
56010,4942
60010,2778
64010,2067
68010,3850
72010,1535
76010,2551
80010,2331
84010,1765
88010,1774
92010,2114
96010,1382
100010,1419
104010,1266
108010,1284
112010,1364
116010,1404
120010,1750
124010,1637
128010,1567
132010,1625
136010,1830
140010,2275
144010,1776
148010,1874
152010,1858
156010,2222
160010,1978
164010,2044
168010,2124
172010,2307
176010,2622
180010,3450
184010,3664
188010,2265
192010,2301
196010,2818
200010,2534
204010,2510
208010,2748
212010,2501
216010,5266
220010,3028
224010,2951
228010,3335
232010,3117
236010,2919
240010,3376
244010,4332
248010,3231
252010,3272
256010,3641
260010,3984
264010,3366
268010,3416
272010,3789
276010,5192
280010,4162
284010,4713
288010,6207
292010,4768
296010,4754
300010,5086
304010,6906
308010,4636
312010,5228
316010,6626
320010,5065
324010,5299
328010,5952
332010,5081
336010,5599
340010,5824
344010,5472
348010,5169
352010,5753
356010,5611
360010,5555
364010,6207
368010,6175
372010,5398
376010,8899
380010,5934
384010,7200
388010,7231
392010,6757
396010,6054
400010,6306
404010,7032
408010,6387
412010,7203
416010,7272
420010,7195
424010,6963
428010,7056
432010,7420
436010,8051
440010,6966
444010,8026
448010,7503
452010,7512
456010,7266
460010,8309
464010,9402
468010,8076
472010,13215
476010,5808
480010,5879
484010,5907
488010,6397
492010,6099
496010,6409
500010,7102
